id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada,objectid
51615,90074037,90074,37,MARGARITAS,251,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59783466,6.27782956,DESTINO-ORIGEN,2A,REGLAMENTARIA,1465
52108,90099019,90099,19,ÉXITO,267,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58697358,6.26577325,ORIGEN-DESTINO,2A,REGLAMENTARIA,1466
51384,90003011,90003,11,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.60198159,6.22734173,ORIGEN-DESTINO,CIRCULAR IZQUIERDA 302,REGLAMENTARIA,1467
52132,90069018,90069,18,ROBLEDAL INTEGRADA,250IR,INTEGRADA,PALENQUE ROBLEDAL,-75.58621566,6.25925697,DESTINO-ORIGEN,2A,REGLAMENTARIA,1468
51690,90016065,90016,65,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.59654164,6.23911244,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA,1469
50366,90086002,90086,2,PALMITAS-CENTRO,255P,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.63587147,6.27764867,ORIGEN-DESTINO,2A,REGLAMENTARIA,1470
50748,90005071,90005,71,CIRCULAR,300,CIRCULAR,COONATRA,-75.61848121,6.23580856,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1471
52510,90072025,90072,25,MORAVIA,250M,INTEGRADA,PALENQUE ROBLEDAL,-75.57935197,6.27354804,DESTINO-ORIGEN,2A,REGLAMENTARIA,1472
51871,90096004,90096,4,SEMINARIO INTEGRADA,260I,INTEGRADA,PALENQUE ROBLEDAL,-75.59200428,6.29159881,ORIGEN-DESTINO,2A,REGLAMENTARIA,1473
52398,90011003,90011,3,RUTA DE LA SALUD DERECHA,308,CIRCULAR,COINVETRANS,-75.58155914,6.28349704,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1474
52825,90104008,90104,8,ALFONSO LÓPEZ - VIEJO TERMINAL,261A,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.5743764,6.30282941,ORIGEN-DESTINO,2B,REGLAMENTARIA,1475
53590,90013052,90013,52,RUTA DE LA SALUD IZQUIERDA,309,CIRCULAR,COINVETRANS,-75.56326659,6.24919812,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1476
50406,90088010,90088,10,VEREDA EL LLANO - CENTRO,255V1D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.63358139,6.278678,ORIGEN-DESTINO,2A,REGLAMENTARIA,1477
51741,90083020,90083,20,SAN CRISTÓBAL - DOÑA MARÍA,255,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59526672,6.27813836,ORIGEN-DESTINO,2A,REGLAMENTARIA,1478
51818,90081027,90081,27,NUEVO OCCIDENTE-LAS FLORES,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59326521,6.27826859,ORIGEN-DESTINO,2A,REGLAMENTARIA,1479
52387,90106022,90106,22,PILARICA,254IB_TV 73,INTEGRADA,TRANSPORTE MEDELLÍN CASTILLA,-75.58184449,6.27358264,DESTINO-ORIGEN,2B,REGLAMENTARIA,1480
50356,90082001,90082,1,SAN CRISTÓBAL -CONEXIÓN VIAL,255D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.63659268,6.27752027,ORIGEN-DESTINO,2A,REGLAMENTARIA,1481
51694,90080021,90080,21,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.5965067,6.26482761,ORIGEN-DESTINO,2A,REGLAMENTARIA,1482
