id_ruta;nombre;codigo;sistema;tipo;empresa;longitud;recorrido;from_date
90097;BRISAS;260BR;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;1460818;ORIGEN_DESTINO;27/08/2024 0:00
90173;BUENOS AIRES;96;6A;DIRECTA CENTRO;FLOTA LA V;2184043;ORIGEN_DESTINO;13/07/2020 0:00
90174;BUENOS AIRES;096 HORARIO ESP;6A;DIRECTA CENTRO;FLOTA LA V;2487461;ORIGEN_DESTINO;13/07/2020 0:00
90267;CAICEDO;93;6H;DIRECTA CENTRO;COPATRA;1156845;ORIGEN_DESTINO;27/08/2024 0:00
90266;CAICEDO LA TOMA;93;6H;DIRECTA CENTRO;COPATRA;1116007;ORIGEN_DESTINO;27/08/2024 0:00
90268;CAICEDO LA TOMA MINORISTA;93;6H;DIRECTA CENTRO;COPATRA;1354923;ORIGEN_DESTINO;27/08/2024 0:00
90220;CAMPO VALDÉS CENTRO;51-52 CV-C;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;1338278;ORIGEN_DESTINO;27/08/2024 0:00
90222;CAMPO VALDÉS FERROCARRIL;51-52 CV-F;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;1295948;ORIGEN_DESTINO;27/08/2024 0:00
90223;CAMPO VALDÉS ORIENTAL;51-52 CV-O;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;1284258;ORIGEN_DESTINO;27/08/2024 0:00
90224;CAMPO VALDÉS SAN DIEGO;51-52 CV-SD;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;1684216;ORIGEN_DESTINO;27/08/2024 0:00
90128;CARABOBO - AV. DE GREIFF;ANILLO 1 CARRERA 65;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1614528;ORIGEN_DESTINO;27/08/2024 0:00
90135;CARABOBO - AV. GREIFF;ANILLO 1 CARRERA 73;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1321533;ORIGEN_DESTINO;27/08/2024 0:00
90315;CASETA;227I-C;8A;INTEGRADA;METROSAN;488548;ORIGEN_DESTINO;27/08/2024 0:00
90115;CASTILLITA;265;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1768346;ORIGEN_DESTINO;10/03/2020 0:00
90175;CAUCES-QUINTALINDA;97;6A;DIRECTA CENTRO;FLOTA LA V;2186434;ORIGEN_DESTINO;27/08/2024 0:00
90176;CAUCES-QUINTALINDA;97;6A;DIRECTA CENTRO;FLOTA LA V;2366969;ORIGEN_DESTINO;27/08/2024 0:00
90180;CERROS DE QUINTALINDA;99;6A;DIRECTA CENTRO;COOPCERQUIN;1460246;ORIGEN_DESTINO;27/08/2024 0:00
90181;CERROS DE QUINTALINDA;099 HORARIO ESP;6A;DIRECTA CENTRO;COOPCERQUIN;1615017;ORIGEN_DESTINO;27/08/2024 0:00
90005;CIRCULAR;300;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;2756126;ORIGEN_DESTINO;28/03/2022 0:00
90006;CIRCULAR;301;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;2839046;ORIGEN_DESTINO;05/11/2024 0:00
90367;CIRCULAR;300 DIR-80;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;2605432;ORIGEN_DESTINO;27/08/2024 0:00
90369;CIRCULAR;301 DIR-80;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;2693934;ORIGEN_DESTINO;27/08/2024 0:00
90002;CIRCULAR 286;286;CIRCULAR 286;CIRCULAR;COMBUSES;1271383;ORIGEN_DESTINO;27/08/2024 0:00
90015;CIRCULAR 315;315;CIRCULAR 315 Y 316;CIRCULAR;SANTRA;1669754;ORIGEN_DESTINO;28/03/2022 0:00
90016;CIRCULAR 316;316;CIRCULAR 315 Y 316;CIRCULAR;SANTRA;173074;ORIGEN_DESTINO;28/03/2022 0:00
90001;CIRCULAR DERECHA 303;303;CIRCULAR DERECHA 303;CIRCULAR;COONATRA;2083008;ORIGEN_DESTINO;01/08/2018 0:00
90003;CIRCULAR IZQUIERDA 302;302;CIRCULAR IZQUIERDA 302;CIRCULAR;AUTOBUSES POBLADO LAURELES;2100978;ORIGEN_DESTINO;11/01/2024 0:00
90094;CLÍNICA;260CL;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;1705364;ORIGEN_DESTINO;27/08/2024 0:00
90308;COLINAS;225I-2;8A;INTEGRADA;METROSAN;349467;ORIGEN_DESTINO;27/08/2024 0:00
90009;COMERCIAL HOTELERA DERECHA;304;CIRCULAR 304, 305, 308, 308D, 309, 309D;CIRCULAR;INVETRANS;3614661;ORIGEN_DESTINO;28/03/2022 0:00
90010;COMERCIAL HOTELERA IZQUIERDA;305;CIRCULAR 304, 305, 308, 308D, 309, 309D;CIRCULAR;INVETRANS;3554293;ORIGEN_DESTINO;01/08/2018 0:00
90316;CONQUISTADORES;228I;8A;INTEGRADA;METROSAN;387421;ORIGEN_DESTINO;27/08/2024 0:00
90300;CORAZÓN-ORIENTAL;203 CORAZÓN;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;1995889;ORIGEN_DESTINO;01/08/2018 0:00
90294;CORAZÓN-PLAZA MINORISTA;201B;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;2316879;ORIGEN_DESTINO;11/03/2021 0:00
90095;CÓRDOBA;260C;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;1623311;ORIGEN_DESTINO;27/08/2024 0:00
90310;DEPÓSITO;226I-D;8A;INTEGRADA;METROSAN;416595;ORIGEN_DESTINO;27/08/2024 0:00
90108;DERECHA CASTILLA - ESTACIÓN UNIVERSIDAD;261I DER;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;109118;ORIGEN_DESTINO;01/08/2018 0:00
90126;DERECHA - CIRCULAR NOROCCIDENTAL;306B;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;1576691;ORIGEN_DESTINO;27/08/2024 0:00
90090;DERECHA VEREDA BOQUERÓN - PARQUE SAN CRISTÓBAL;255V3;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;2051387;ORIGEN_DESTINO;27/08/2024 0:00
90007;DIRECTA CIRCULAR;310;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;1986496;ORIGEN_DESTINO;11/11/2021 0:00
90008;DIRECTA CIRCULAR;311;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;281183;ORIGEN_DESTINO;11/11/2021 0:00
90252;EL FARO;105;6F;DIRECTA CENTRO;COOTRANSMALLAT;1177692;ORIGEN_DESTINO;27/08/2024 0:00
90136;EL HUECO - PARQUE BERRÍO;ANILLO 2 CARRERA 73;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1522794;ORIGEN_DESTINO;27/08/2024 0:00
90238;EL JARDÍN;069;6E;DIRECTA CENTRO;COOPETRANSA;1618509;ORIGEN_DESTINO;27/08/2024 0:00
90351;EL LLANO;255I;2A;INTEGRADA;RÁPIDO SAN CRISTÓBAL;119213;ORIGEN_DESTINO;27/08/2024 0:00
90298;EL MORRO-TRAVESÍAS-CORAZÓN-SANTA LUCÍA;202I;8A;INTEGRADA;CONDUCCIONES AMÉRICA;1203293;ORIGEN_DESTINO;01/08/2018 0:00
90330;EL PATIO-ESTACIÓN SAN JAVIER;C23I;8A;INTEGRADA;TAX MAYA;2250275;ORIGEN_DESTINO;27/08/2024 0:00
90193;EL SALVADOR;111;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;1358207;ORIGEN_DESTINO;27/08/2024 0:00
90343;EL SALVADOR BARRIO NACIONAL;111;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;1231247;ORIGEN_DESTINO;27/08/2024 0:00
90191;EL SALVADOR DERECHO;111;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;1369217;ORIGEN_DESTINO;27/08/2024 0:00
90110;ESTACIÓN TRICENTENARIO;261II;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;1058016;ORIGEN_DESTINO;27/08/2024 0:00
90286;ESTADIO-BOLIVARIANA-LAURELES;193I;8A;INTEGRADA;AUTOBUSES POBLADO LAURELES;1244393;ORIGEN_DESTINO;19/10/2021 0:00
